sep=,
Size,Average comparisons
10,6.01
15,8.48
20,10.93
25,13.41
30,16.21
35,18.54
40,20.74
45,23.76
50,26.41
55,28.45
60,30.89
65,33.1
70,36.21
75,38.58
80,41.4
85,42.18
90,45.62
95,48.83
100,51.32
105,53.07
110,56.23
115,58.77
120,61.77
125,61.05
130,67.26
135,66.81
140,72.81
145,74.04
150,74.4
155,76.5
160,85.15
165,80.35
170,86.79
175,90.04
180,90.49
185,96.48
190,93.62
195,103.29
200,94.16
205,109.13
210,101.8
215,110.18
220,108.56
225,116.33
230,117.37
235,113.67
240,124.08
245,117.49
250,134.14
255,125.23
260,130.53
265,134.57
270,134.53
275,137.98
280,144.14
285,138.3
290,153.66
295,146.81
300,143.26
305,163.06
310,148.19
315,156.31
320,166.29
325,157.94
330,176.14
335,163.8
340,174.53
345,169.01
350,176.65
355,181.66
360,178.55
365,191.7
370,182.34
375,189.03
380,188.8
385,191.65
390,196.09
395,198.86
400,197.79
405,205.59
410,203.95
415,222.62
420,198.44
425,221.29
430,210.59
435,223.18
440,214.89
445,223.78
450,226.64
455,230.26
460,234.59
465,211.85
470,245.23
475,238.44
480,245.54
485,240.25
490,231.59
495,265.75
500,246.21
505,255.97
510,242.42
515,257.28
520,267.19
525,268.59
530,286.77
535,252.73
540,264.6
545,268.79
550,286.74
555,282.23
560,276.07
565,268.18
570,292.78
575,283.81
580,304.5
585,294.21
590,290.15
595,285.53
600,311.88
605,292.78
610,324.77
615,308.57
620,321.85
625,294.16
630,310.98
635,309
640,353.41
645,306.12
650,338.39
655,331.6
660,325.85
665,319.41
670,327.75
675,371.89
680,332.29
685,351.97
690,317.83
695,364.41
700,323.63
705,344.98
710,396.98
715,350.18
720,379.05
725,325.08
730,367.22
735,361.8
740,371.08
745,408.98
750,357.38
755,382.26
760,390.47
765,357.49
770,387.85
775,390.36
780,389.98
785,399.34
790,400.19
795,395.59
800,434.62
805,372.9
810,391.07
815,409.97
820,419.02
825,433.53
830,402.12
835,408.6
840,456.16
845,396.53
850,396.03
855,444.16
860,436.63
865,481.04
870,402.47
875,428.29
880,452.91
885,433.96
890,429.8
895,422.82
900,456.07
905,475.46
910,492.14
915,443.37
920,442.25
925,465.11
930,452.85
935,453.19
940,450.55
945,496.17
950,501.15
955,502.86
960,490.33
965,465
970,453.68
975,502.9
980,492.76
985,484.09
990,485.47
995,512.92
1000,520.69
